성분코드,성분명,시도,시군구,진료년월,수량,금액
109001ATB,anastrozole,강원,원주시,2025-04,4539,12882879
109001ATB,anastrozole,강원,원주시,2025-05,4143,11746803
109001ATB,anastrozole,강원,원주시,2025-06,6067,17204607
109001ATB,anastrozole,강원,원주시,2025-07,6803,19300643
109001ATB,anastrozole,강원,원주시,2025-08,5075,14391947
109001ATB,anastrozole,강원,원주시,2025-09,6100,17310596
109001ATB,anastrozole,강원,원주시,2025-10,6899,19583959
109001ATB,anastrozole,강원,원주시,2025-11,4437,12598617
109001ATB,anastrozole,강원,원주시,2025-12,9295,26370755
109001ATB,anastrozole,강원,원주시,2026-01,8261,23424340
109001ATB,anastrozole,강원,원주시,2026-02,4925,13981150
109001ATB,anastrozole,강원,원주시,2026-03,7569,21485160
109001ATB,anastrozole,강원,춘천시,2025-01,4561,12951486
109001ATB,anastrozole,강원,춘천시,2025-02,3603,10232244
109001ATB,anastrozole,강원,춘천시,2025-03,3235,9187095
109001ATB,anastrozole,강원,춘천시,2025-04,4265,12112980
109001ATB,anastrozole,강원,춘천시,2025-05,3746,10637088
109001ATB,anastrozole,강원,춘천시,2025-06,2201,6250758
109001ATB,anastrozole,강원,춘천시,2025-07,4757,13507626
109001ATB,anastrozole,강원,춘천시,2025-08,3251,9232638
109001ATB,anastrozole,강원,춘천시,2025-09,3527,10015878
109001ATB,anastrozole,강원,춘천시,2025-10,2870,8150730
109001ATB,anastrozole,강원,춘천시,2025-11,2946,8366238
109001ATB,anastrozole,강원,춘천시,2025-12,3616,10269054
109001ATB,anastrozole,강원,춘천시,2026-01,3828,10860612
109001ATB,anastrozole,강원,춘천시,2026-02,2225,6311950
109001ATB,anastrozole,강원,춘천시,2026-03,3612,10249626
109001ATB,anastrozole,강원,태백시,2025-01,0,0
109001ATB,anastrozole,강원,태백시,2025-02,0,0
109001ATB,anastrozole,강원,태백시,2025-03,90,237960
109001ATB,anastrozole,강원,태백시,2025-04,0,0
109001ATB,anastrozole,강원,태백시,2025-05,0,0
109001ATB,anastrozole,강원,태백시,2025-06,0,0
109001ATB,anastrozole,강원,태백시,2025-07,0,0
109001ATB,anastrozole,강원,태백시,2025-08,0,0
109001ATB,anastrozole,강원,태백시,2025-09,0,0
109001ATB,anastrozole,강원,태백시,2025-10,0,0
109001ATB,anastrozole,강원,태백시,2025-11,0,0
109001ATB,anastrozole,강원,태백시,2025-12,0,0
109001ATB,anastrozole,강원,태백시,2026-01,0,0
109001ATB,anastrozole,강원,태백시,2026-02,0,0
109001ATB,anastrozole,강원,태백시,2026-03,0,0
